Group / Category,Feature Title,Feature Description,Release Date,Release Version,
Meeting features,Custom human avatars,"In addition to the animal avatars, users can create custom human avatars to be used in meetings. Customization options include numerous facial features and colors to choose from.","December 27, 2022",version 5.13.3 (11494),
General features,Additional MSI/PLIST/GPO/MDM options: Disable Webinar Resources - DisableSidecar,"Disabled by default, this option allows admins to disable the use and visibility of Webinar Resources, which provides webinar hosts with the ability to link to external resources, such as newsletter sign-ups, learn more pages, and others.","December 20, 2022",version 5.13.0 (11216),
General features,Additional MSI/PLIST/GPO/MDM options: Download and install VDI auto-update plugin - InstallVDIAutoUpdatePlugin (MSI only),"Enabled by default, when a VDI environment is detected, the ZoomPluginAutoUpdateService.dll is installed so that VDI auto-update is available for use.","December 20, 2022",version 5.13.0 (11216),
General features,Additional MSI/PLIST/GPO/MDM options: Support for Windows Extended Protection - EnableWinExtendProtectedAuth,"Disabled by default, this allows the client to support Windows Extended Protection with NTLM authentication.","December 20, 2022",version 5.13.0 (11216),
General features,Additional MSI/PLIST/GPO/MDM options: Disable the notification when a cloud recording is available - NotifyCMRAvailable,"Enabled by default, this allows admins to disable the desktop client setting Show notifications when a new recording is available.","December 20, 2022",version 5.13.0 (11216),
General features,Additional MSI/PLIST/GPO/MDM options: Set post processing of video rendering - SetVideoRenderingPostProcessing,"Set to Auto (0) by default, admins can adjust the Video Rendering Post Processing setting found under the Advanced section of the desktop client Video settings. Admins can also choose to enable (1) or disable (2) video rendering post processing.","December 20, 2022",version 5.13.0 (11216),
General features,Additional MSI/PLIST/GPO/MDM options: Set method video capture - SetVideoCapturingMethod,"Set to Auto (0) by default, admins can adjust the Video Capturing Method setting found under the Advanced section of the desktop client Video settings. Admins can also choose Direct Show (1) or Media Foundation (2) for the capture method.","December 20, 2022",version 5.13.0 (11216),
General features,Support for Zoom Mesh,"The Zoom client supports the use of Zoom Mesh within a local network, reducing internet bandwidth used by attendees when connecting with Zoom servers for Zoom Webinars and Events. This requires version 5.13.0 or higher.","December 20, 2022",version 5.13.0 (11216),
Meeting/webinar features,Additional annotation discoverability,"When viewing shared content, an additional toggle is available in the bottom-left corner of the shared content, making the annotations toolbar more easily accessible. This additional toggle for annotations is in addition to the existing entry point under View Options.","December 20, 2022",version 5.13.0 (11216),
Meeting/webinar features,Speaker attributions for live automated captions,"When viewing automated captions in a live meeting or webinar, captions will include the speaker’s profile picture as part of captions, to make it easier to understand who is currently speaking. If the user has no profile picture, their initials will be displayed instead. Their full name is provided when viewing the full transcript. Previously, there was no speaker attribution in the displayed captions. This also includes other minor caption enhancements to better support multiple speakers.","December 20, 2022",version 5.13.0 (11216),
Meeting/webinar features,Temporarily disable automated captions,Hosts can disable automated captioning during a live meeting or webinar. This can be useful when the host forgets to disable captions from the web settings and wants to disable them for a meeting. Participants will be notified that captions are disabled by the host and the Show Captions button is no longer available in the control toolbar for everyone except the host.,"December 20, 2022",version 5.13.0 (11216),
Meeting/webinar features,"Meeting and webinar countdown timer - Windows, macOS, Linux","Meeting participants and webinar panelists can choose to display how much time is left in a scheduled session. This timer is based on the scheduled duration and changes to a warming gold color after reaching 5 minutes remaining. Previously, participants could only choose to view the current duration of the meeting.","December 20, 2022",version 5.13.0 (11216),
Meeting/webinar features,Slide control enhancement for persistent assignments,"Participants assigned slide control during a meeting or webinar session will continue to have slide control, even after sharing is stopped and restarted. Previously, slide control assignments were reset when sharing was stopped.","December 20, 2022",version 5.13.0 (11216),
Meeting/webinar features,Dimmed video if flashing images or patterns detected,Users can enable an option under Accessibility settings that allows the Zoom app to detect flashing images or patterns and automatically dim the video in a meeting or webinar.,"December 20, 2022",version 5.13.0 (11216),
Meeting features,Support for Q&A in meetings,"Hosts can enable the Q&A feature in meetings to allow participants to ask questions, which can be viewed by all, but only answered by the host and co-host. Questions can be submitted anonymously, and responses can be sent publicly for all to see or privately to just the sender. Hosts can also mark submitted questions as something that will be answered live, so participants are aware and can expect their answer to follow soon. This is currently only available for standard Business, Zoom One Business, Zoom One Business Plus, Zoom One Enterprise, and Zoom One Enterprise Plus accounts, with standard Enterprise accounts currently scheduled to follow on January 7, 2023.","December 20, 2022",version 5.13.0 (11216),
Meeting features,Creation and editing of polls directly in a meeting,"Hosts and co-hosts can create and edit polls during a meeting. Previously, creating and editing a poll launched the web portal, for changes to be made there. For MacOS users, this feature requires macOS version 10.12 or higher.","December 20, 2022",version 5.13.0 (11216),
Meeting features,Animated meeting reactions,"Reactions shown in each video tile can be animated to draw greater attention. These animations are controlled through client settings, as well controlled by admins at the Account level settings.","December 20, 2022",version 5.13.0 (11216),
Meeting features,Enhanced broadcasting notification,"When the host begins broadcasting their voice to all open breakout rooms, indicators that they are currently live are more prominent and clear. This includes the breakout rooms window where the host initiates the broadcast, as well as the broadcasting notification in the top-left corner of the video window.","December 20, 2022",version 5.13.0 (11216),
Meeting features,Enhanced join flow,The process of joining a meeting is enhanced to combine the Please wait for the host to start this meeting window and the Waiting Room window together. This new join flow requires version 5.12.0 or higher and is only available for meetings hosted by Free & Single-User accounts initially. This will be available for additional paid account types in mid-January 2023.,"December 20, 2022",version 5.13.0 (11216),
Team Chat features,Schedule meeting with chat and channel members,"Users can schedule meetings with members of a chat channel directly from Team Chat. When successfully scheduled, the meeting is added to your calendars, provides a notification with the option to copy the invitation, and also appears as a meeting card in the chat. This feature requires all chat members to have their calendars integrated with Zoom, and currently supports Google Calendar and Office 365 (OAuth 2.0). This setting is available at the account and group levels.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Mention groups,"The chat channel owner or admins can create custom mention groups of users, which are all tagged when that group is @ mentioned. Up to 100 members can be assigned to a mention group, with members able to leave the group at any time. Channels support up to 10 different mention groups, but group mentions only work in the channel they were created in.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Delete messages in channels you own/admin,"Channel owners and other designated admins can delete messages sent by other users in that channel. Previously, messages could only be deleted by the sender themselves.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Configurable text compose box shortcuts,"The toolbar of shortcuts at the bottom of the chat compose box can be customized both in terms of the order of icons as well as which options are currently visible. Customizations affect the main chat compose box for the chat group/channel, as well as the chat compose box as a reply to a message. Since the visibility of voice messages, video messages, and code snippet options can be controlled here, the corresponding options on the Team Chat tab of client settings are removed.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Updated chat notification settings,"Settings for controlling chat notifications are updated for clarity and ease of use. These updates affect the Team Chat tab of the client settings, the channel info panel, and the more menu for each channel in the chat sidebar.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Search for SMS messages,"The Search bar supports searching SMS messages you have sent and received. Additional search filters are also available for SMS messages. Narrow your search down to specific phone numbers or conversations with the From and Search in filters, while the Type filter can narrow the search to SMS messages only. This feature will be enabled for current customers, but must be enabled by Zoom for any new customers.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Enhanced GIF control,"When viewing a sent GIF image in a chat or channel, there will be the option to pause/play the GIF.","December 20, 2022",version 5.13.0 (11216),
Team Chat features,Increased member limit for public channels to 50k,"The limit of members in a public Team Chat channel can be increased to 50,000 per channel. Currently, the limit is 15,000 per channel. This feature must be enabled by Zoom and your account must be provisioned in the US01 cluster.","December 20, 2022",version 5.13.0 (11216),
Zoom Mail and Calendar,Spell check for Mail Client,The Zoom Mail Client can utilize the system’s built-in spell checking functionality to check emails you draft in the client.,"December 20, 2022",version 5.13.0 (11216),
Phone features,Support for more than 1000 imported contacts,"When contacts are uploaded by admins, these contacts are found by using the search bar or phone dialer. Searching contacts supports as many contacts as were uploaded. Previously, only up to 1000 imported contacts were searchable.","December 20, 2022",version 5.13.0 (11216),
Phone features,Display end-of-call experience feedback survey,"Account owners and admins can display a thumbs up/down survey at the end of each call. If participants respond with thumbs down, they can provide additional information about what went wrong. This feature must be enabled by Zoom.","December 20, 2022",version 5.13.0 (11216),
Contact Center features,Show variables in active engagements,"When configuring variables, account owners and admins can enable an option to display the variable in the Zoom desktop client. If enabled, the variable will display in the inbound notification and the Profile or Engagement tab during active engagements. This feature must be enabled by Zoom.","December 20, 2022",version 5.13.0 (11216),
Contact Center features,Enhancements to engagement sidebar,"If the agent was invited to an engagement through transfer or conference, it will appear in the Conference section while the engagement is being handled by the assigned agent. Previously, all active engagements appeared in the Active section for invitees.","December 20, 2022",version 5.13.0 (11216),
Contact Center features,Invite another user to a video engagement,Agents can invite another contact center user to the active video engagement.,"December 20, 2022",version 5.13.0 (11216),
Contact Center features,Monitor video engagements,"Supervisors can use the Active engagements tab to view active video engagements. When viewing a video engagement, all other parties in the video engagement will not be aware the supervisor is viewing.","December 20, 2022",version 5.13.0 (11216),
Contact Center features,Change agents status,Supervisors can manually change the status of an agent and add a Not Ready reason by using the Teams page in the Zoom desktop client. Agents will receive a notification when their status is changed by a supervisor.,"December 20, 2022",version 5.13.0 (11216),
Contact Center features,Enhancements to engagement information in Zoom desktop client,There are several enhancements to engagement information displayed in the Zoom desktop client: Agents can view additional details of global custom variables displayed during an engagement. Custom global variables are now displayed in a dedicated section of the engagement tab. Agents can click URLs to launch them in a web browser if the URL link is provided in a variable.,"December 20, 2022",version 5.13.0 (11216),
Contact Center features,Hold/un-hold support for USB HID headsets,Agents can use supported USB HID headset to hold or un-hold voice engagements.,"December 20, 2022",version 5.13.0 (11216),
Contact Center features,Display caller ID name for inbound voice calls,"Agents will see the calling party’s caller ID name when receiving an inbound voice engagement or when another agent transfers a voice engagement to them. If the calling party doesn’t have a caller ID name, the matching address book entry will display.","December 20, 2022",version 5.13.0 (11216),
Contact Center features,Transfer to flow,Agents can transfer a voice engagement to a flow so that the consumer can be provided with a flow experience before reaching another queue or agent.,"December 20, 2022",version 5.13.0 (11216),
Contact Center features,Invite another user to a voice engagement,"Agents can invite another user to the active voice engagement using Warm Conference. The user can be a Zoom Contact Center user or queue, Zoom Phone user, or external phone number. There can be a maximum of 10 participants in an active voice engagement.","December 20, 2022",version 5.13.0 (11216),
Contact Center features,Barge or listen in on voice conference,Supervisors can barge or listen in on an active voice conference engagement. The assigned agent will be notified that the supervisor is barging or listening in on the engagement.,"December 20, 2022",version 5.13.0 (11216),
Contact Center features,View flow history,Supervisors can use the Active engagements table to see the relevant flows that engagements have been routed through.,"December 20, 2022",version 5.13.0 (11216),
General features,Enterprise Auto Update policies,"Zoom’s Enterprise Auto Update policies allow system administrators the ability to keep managed desktop client installations up to date in accordance with their own policies and preferences. These policies will afford administrators granular control over desktop client auto-update behavior and UI, giving them the ability to tailor the experience at a group level to meet the needs of a wide variety of user cohorts. The following policies are available with MSI, GPO, and PLIST deployments with version 5.10.6 or higher, as well as with Zoom Device Management (ZDM): AU2_EnableAutoUpdate, AU2_SetUpdateChannel, AU2_EnableShowZoomUpdates, AU2_EnableUpdateAvailableBanner, AU2_EnablePromptUpdateForAU2, AU2_EnableUpdateSuccessNotification, AU2_EnableManualUpdate, AU2_DeploySpecificVersion, AU2_SetUpdateSchedule, AU2_InstallAtIdleTime, AU2_SafeUpgradePeriod.","November 28, 2022",version 5.12.9 (10650),
Meeting,Enhancements to Closed Captioning notifications,"When a participant enables closed captioning, they are prompted to select the speaking language that will be used in the meeting which will be applied for everyone. When the spoken language is changed, the participant will be asked to confirm speaking language before it is changed. The host and any user who has captions on are notified if speaking languages are changed. This requires desktop version 5.12.9 or higher.","November 28, 2022",version 5.12.9 (10650),
Meeting,Enhancements to Translated Captioning notifications,"When a participant enables translated captions, they are prompted to select their speaking language (the language they will be speaking) and their translation language (the language in which they want to view closed captions). Additionally, all other participants in the meeting are prompted to select their speaking language, so that any participant who has translated captioning enabled can view captions accurately in their preferred language. This will not automatically turn on captions and translation for everyone; users must select speaking and translation languages in order to enable and view captions. This requires desktop version 5.12.9 or higher.","November 28, 2022",version 5.12.9 (10650),
Zoom Mail and Calendar,Introducing: Zoom Mail and Calendar Clients,"Email and calendaring are centralized along with Meetings, Phone, and Team Chat when your email and calendar account is integrated with Zoom. The Zoom Mail Client allows users to access, manage, compose, and respond to emails directly from the Zoom desktop client. Integrating a calendar service allows users to schedule new meetings directly in their calendar with an associated Zoom meeting, check who has responded to the invite, and more easily join meetings on their calendar. Currently, Zoom supports the Zoom Mail Service, Google, and Office 365 for integrating with the client.","November 10, 2022",version 5.12.8 (10232),
Zoom Mail and Calendar,Introducing: Zoom Mail and Calendar Service (Beta),"The Zoom Mail Service works seamlessly with Meetings, Phone and Team Chat, bringing all of your important communications and scheduling activities together, with the security of end-to-end encryption for emails sent directly between active Zoom Mail Service users. This is currently available for Zoom One Pro or Standard Pro accounts in the US or Canada. The Mail and Calendar Services use the Mail and Calendar Clients for the desktop app.","November 10, 2022",version 5.12.8 (10232),
General features,Dutch language support,"The Zoom client now supports Dutch. By default, Zoom will match the operating system’s language if supported and users can manually select a language of their choice.","November 7, 2022",version 5.12.6 (10137),
General features,Support for RelayState with SSO authentication,"Zoom SSO authentication protocols have been enhanced to provide the ability for deep linking within SSO responses, ensuring users are authenticated before joining a meeting or viewing a cloud recording, as well as automatically authenticating on the client when launching the application. This feature must be enabled by Zoom.","November 7, 2022",version 5.12.6 (10137),
General features,Reorder desktop client tabs,"Desktop client users can adjust the order of product tabs on the desktop client, prioritizing the products they use the most. This can be done by dragging-and-dropping the tabs directly, or under the General tab of the client settings.","November 7, 2022",version 5.12.6 (10137),
Meeting/webinar features,Screen share preview,"When starting a share session, the sharer can hover their mouse near the floating toolbar and view a preview of the shared content other participants are seeing on their devices. This feature will not be immediately available, as it is dependent on a backend update currently scheduled for November 9, 2022.","November 7, 2022",version 5.12.6 (10137),
Meeting/webinar features,Enhanced participants list for multi-device users,"When a user pairs the Zoom desktop or mobile app with a local Zoom Room or Zoom for Home device and joins a meeting or webinar, the Participants list will display these redundant attendees grouped and nested to better convey these associations between users and devices.","November 7, 2022",version 5.12.6 (10137),
Meeting features,Enhanced formatting for in-meeting chat,"In-meeting chat is being enhanced to support more advanced forms of messaging, including in-line image previews, rich text formatting, screenshots, and message quoting. Messages can also be deleted after being sent.","November 7, 2022",version 5.12.6 (10137),
Meeting features,Support for up to 1000 participants in E2EE Meetings,"End-to-end encrypted meetings can support up to 1000 total participants. Previously, the maximum was 200 participants. Large Meeting add-on requirements still apply.","November 7, 2022",version 5.12.6 (10137),
Meeting features,Pair with Zoom Room and transfer a live meeting,"Pairing with a Zoom Room can also be initiated within the Zoom meeting window, facilitating easier transferring of that meeting to the local Zoom Room. Previously, you had to pair with a Zoom Room outside of an active meeting, before being able to transfer. This requires Zoom Room version 5.12.6 or higher.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Enhanced Whiteboard menu,"The in-meeting menus have been updated, to more closely match the menus in the out-of-meeting whiteboard experience. This includes an improved right-click menu, additional editing options for shapes, and a zoom menu on mobile.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Additional shapes,"Additional shapes are available for Whiteboard including more basic shapes, flowchart symbols, UML symbols, and equations.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Follow along with presenter,"When collaborating on a Whiteboard during a live meeting, participants can request to follow a specific editor or request all others to follow them. When following, your view of the canvas is tied to their view of the canvas.","November 7, 2022",version 5.12.6 (10137),
Whiteboard features,Rich-text options for text objects,"In-meeting created text objects, sticky notes, and shapes can be more finely formatted with additional rich-text options, including bold, italics, underline, font size, bulleted and numbered lists, and more.","November 7, 2022",version 5.12.6 (10137),
Team Chat features,Multiple admins for a chat channel,Channel owners can designate up to 50 admins to help manage a chat channel.,"November 7, 2022",version 5.12.6 (10137),
Team Chat features,Support for messages only visible to you,Some messages sent by Zoom Apps in Team Chat are marked Only visible to you. These messages are only visible to the specific user who triggered the actions because they are user-specific and not suitable for the wider audience.,"November 7, 2022",version 5.12.6 (10137),
Team Chat features,Scheduling a meeting through Zoom Team Chat,"Zoom Team Chat users can schedule meetings directly within a chat channel, which will automatically invite all members of that chat channel to the resulting calendar event. This feature currently only supports the Contacts and Calendar integration with Google and requires version 5.11.3 or higher.","November 7, 2022",version 5.12.6 (10137),
Team Chat features,Virtual background and touch up appearance support for Video Messaging,"When sending a Video Message in Zoom Chat, the user’s previously selected virtual background and their touch up setting are applied to the video. An option to open virtual background and filter settings is provided for quick access. This feature is available for all accounts, and no longer must be enabled by Zoom. The device must support the virtual background type you want to utilize.","November 7, 2022",version 5.12.6 (10137),
Team Chat features,Get Started section for new Team Chat users,New users interacting with Team Chat for the first time are provided with a getting started guide to help them onboard with using Zoom Team Chat more efficiently.,"November 7, 2022",version 5.12.6 (10137),
Phone features,Chat notifications for missed calls,"With the power pack license, receptionists can quickly send a chat message to a recipient that missed a call. The receptionist can enable a setting to determine if the note happens during or after a call. If leaving a phone number in the note, it can be clicked to be dialed directly from the chat.","November 7, 2022",version 5.12.6 (10137),
Contact Center features,View and edit address book,"Agents can access and navigate the address book from the Zoom desktop client. They can also initiate outbound engagements from address book contacts, and edit contact attributes for active/closed engagements.","November 7, 2022",version 5.12.6 (10137),
Contact Center features,Mirror video,Agents and consumers can mirror their video during a video engagement.,"November 7, 2022",version 5.12.6 (10137),
Contact Center features,Release engagements back to queue,Agents or supervisors in an active manually routed voice or video engagement can release engagement back to the queue if needed.,"November 7, 2022",version 5.12.6 (10137),
Contact Center features,Enhancement to voice call transferring,"When supervisors or agents transfer a voice call to another contact center user, they will be notified if the user is available. If the user isn’t available, they can transfer to a voicemail inbox accessible by the user (if applicable).","November 7, 2022",version 5.12.6 (10137),
Contact Center features,Support for USB headsets,"Supervisors and agents can use supported USB headsets to mute/unmute, accept, or adjust the volume during video engagements.","November 7, 2022",version 5.12.6 (10137),
Contact Center features,SMS from voice engagement,Agents or supervisors can click SMS in the Profile tab to easily start a new SMS engagement while in an active voice engagement.,"November 7, 2022",version 5.12.6 (10137),
General features,Enhanced access to cloud recordings,"Cloud recordings can be more easily accessed and shared from the desktop client. Additionally, a notification will appear when a recording is finished processing.","August 22, 2022",version 5.11.9 (8040),
Meeting/webinar features,Support up to 25 custom languages for interpretation,"Up to 25 custom languages for interpretation can be used during a meeting or webinar. Previously, only up to 5 custom languages were supported. This option is only available if Enable language interpretation by default is enabled. This enhancement must be enabled by Zoom and requires client version 5.11.2 or higher.","August 22, 2022",version 5.11.9 (8040),
Meeting features,Broadcast mic audio to all breakout rooms,"Meeting hosts can broadcast their microphone audio to all breakout rooms in a meeting. Previously, only device audio could be shared to breakout rooms from the main session.","August 22, 2022",version 5.11.9 (8040),
Webinar features,Support for multi-language and translated captions in Webinars,"Zoom Webinars hosts can enable translated captions to support webinars with multiple different language speakers, allowing attendees to view captions in the language that best suits them. Additionally, automated captions in Webinars support additional languages in addition to English, which has been the only supported language thus far. Previously, these captioning features were only available for meetings. The Translated Captions feature is currently only available for Zoom One Business Plus and Zoom One Enterprise Plus accounts.","August 22, 2022",version 5.11.9 (8040),
Whiteboard features,Enhanced collaboration cursors,"In-meeting Whiteboard users will see fewer collaboration cursors, which are cursors labeled with the name of the participants controlling them, when collaborating with others on a Whiteboard. Inactive cursors will disappear until active again. Users can also enable and disable viewing all collaborator’s cursors when viewing a Whiteboard.","August 22, 2022",version 5.11.9 (8040),
Whiteboard features,Additional shapes and enhanced shape creation,"Additional shapes are available for the in-meeting Whiteboard experience, including pentagons, hexagons, octagons, hearts, arrows, clouds, and stars. Previously, these shapes could only be added through the out-of-meeting experience.","August 22, 2022",version 5.11.9 (8040),
Whiteboard features,Dark mode support for Whiteboard Dashboard,"The out-of-meeting Whiteboard Dashboard, accessed by clicking the Whiteboard tab in the client, follows the client’s light or dark theme.","August 22, 2022",version 5.11.9 (8040),
